year,regime,bench_0050_ret,strat_ret,strat_sharpe,strat_mdd,sharpe_0050,mdd_0050,n_trades
2015,盤整,-0.08715251690458303,0.13273302436605317,1.2364845699728864,-0.050010720896534064,-0.29353461955355,-0.20962199312714772,34
2016,多頭,0.20570948782535692,0.04102536438150817,0.3351030740377776,-0.13071401346338127,1.4483522658842756,-0.08578052550231836,38
2017,盤整,0.14255910987482623,0.5490272007523427,3.0467864818870884,-0.06639498047419812,1.8525442789583144,-0.054513481828839215,29
2018,盤整,-0.08595641646489105,-0.18300503517700129,-1.1536719932635677,-0.1903194222181607,-0.2620960174835811,-0.15990862364363218,46
2019,多頭,0.30925050641458474,0.0499243096879054,0.40195294307008533,-0.11889299982560624,2.6874777190346455,-0.08358208955223859,40
2020,多頭,0.2519201228878647,0.12515346420150153,0.6560031168710163,-0.1088368523124333,1.2861606820909348,-0.2821765217243084,53
2021,多頭,0.170084439083233,-0.1004015780590255,-0.384986828122674,-0.27797369520950505,1.1405635060470605,-0.10442477876106178,71
2022,空頭,-0.24726775956284153,-0.07599773256751907,-0.46416715219025023,-0.11336201098407292,-1.0359238532903805,-0.3395700541458191,36
2023,多頭,0.2230248306997742,0.21204083650037675,1.3217772286231764,-0.1262150397205665,1.8366802943364822,-0.07055355121623744,49
2024,多頭,0.4510748702742773,-0.11748414846725008,-0.5264849973094408,-0.2739181857809771,1.7912024474723223,-0.21301508952969725,67
2025,多頭,0.34064517785449877,0.5201589344925739,2.0071686966590074,-0.12222173562671189,1.4423410556214789,-0.27484989809549515,28
2026,多頭,0.4958924570575056,0.6578225272526435,2.2329762182021278,-0.19936528669147643,2.7785838613127725,-0.10844115834873713,29
